C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,02/10/2019 23:36:07,llore,NPI273005 (HP LaserJet 200 colorMFP M276nw),A4,1:0.296559,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,09/10/2019 17:06:34,llore,Microsoft Print to PDF,A3,1:1.11872,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,09/10/2019 23:41:50,llore,AutoCAD PDF (High Quality Print).pc3,ISO A3 (420.00 x 297.00 mm),1:1.12928,
C:\Users\llore\Desktop\Projectes\OBRADOR\planta.dwg,Modelo,11/10/2019 21:59:07,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\planta.dwg,Modelo,11/10/2019 22:03:11,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,11/10/2019 22:04:08,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,11/10/2019 22:04:52,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\planta.dwg,Modelo,11/10/2019 22:37:31,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,11/10/2019 22:38:21,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,11/10/2019 22:39:03,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,12/10/2019 23:22:07,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\NauEntrMitg.dwg,Modelo,12/10/2019 23:22:34,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
C:\Users\llore\Desktop\Projectes\OBRADOR\planta.dwg,Modelo,12/10/2019 23:23:27,llore,DWG To PDF.pc3,ISO full bleed A3 (420.00 x 297.00 mm),1:1,
